make,model,variant,mileage,first_registration,powe_kw,drive_type,features_autopilot,tires_summer,tires_winter,tires_all_season,tires_total_sets,features_heatpump,features_pano_roof,features_trailer_hitch,battery_netto,battery_brutto,color,upholstery,taxation,accident_free,number_of_keys,damage_description,auction_start_date,auction_end_date,status,highest_bid_price,number_of_bids,list_price,acc,number_of_seats,electric_seats,leather_seats,head_up_display,seat_heating,sport_seat_type,heated_steering_wheel,sport_steering_wheel,leather_steering_wheel,camera_type,trailer_hitch_seller,paint_color,upholstery,equipment,charging_cables,document_type,documents,form_of_ownership,seller_type,special_equipment_price,accident_free_cardentity,service_maintained,smoker_car,pet_car,auction_id,auction_short_id,auction_sequence,activated_at,auction_created_at,highest_bider_id,highest_bid_at,bids_count_calc,max_bid_offer_amount,min_bid_offer_amount,last_bid_at,is_highland,highland_logic_reason
Tesla,Model 3,"Standard Range Plus RWD (55.0 kWh, 225.0 kW)",72656,2021-02-18,208,rwd,Standard,1,1,0,2,t,t,,51,55,,,vat_deductible,t,2,"Paint chipping on front bumper due to stone chips; Sticker: driver's door, passenger door, tailgate, and rear shock absorber; Original Tesla center console trays",2025-04-28 09:00:00+00,2026-01-14 10:00:00+00,active,14800.0,1,47580,acc,,,,,front_seats,none,,,,rear,f,,,"{""specialEquipment"": [], ""standardEquipment"": [""15 speaker(s)"", ""Airbag driver side/passenger side"", ""Antilock braking system (ABS)"", ""Body: 4-door"", ""Center armrest front with storage compartment"", ""Central locking system / starting system Keyless-Entry"", ""Custom paintwork Pearl white"", ""Driver assistance system: automatic distance control (ACC) with forward-radar assistant"", ""Driver assistance system: autonomous emergency braking assistance (AEB)"", ""Driver assistance system: autopilot (Basic)"", ""Driver assistance system: collision warning system (Forward Collision Warning, FCW)"", ""Electric motor 239 kW"", ""Exterior mirror electrically heated and folding"", ""Exterior mirror fold-up"", ""Front fog lights LED"", ""Glass roof fixed"", ""Head airbag system (windowbag) front + rear"", ""Heating/air-conditioning: heat pump (Supermanifold)"", ""HV battery 60 kWh"", ""Inductive charging tray for Smartphone"", ""Interior equipment Premium black"", ""Kneebag driver side/passenger side"", ""Liftgate opening electr."", ""Light-alloy rims"", ""Model year 2021"", ""Multi-media interface 2 x USB (type C) front and 2 x USB charging port (type C) center console rear"", ""Parking brake electronic (EPB)"", ""Rear lights LED"", ""Rear seat backrest split/folding (60:40)"", ""Reversing camera HD"", ""Seat heating front"", ""Seats front electrically adjustable (12-way)"", ""Sound system Premium"", ""Steering wheel heated"", ""Subwoofer"", ""Transmission for electric vehicle"", ""Type of drive: rear-wheel drive"", ""Voice control system"", ""Wi-Fi on Board""]}",{type_2},,"{registration_certificate_part_1,registration_certificate_part_2,coc_certificate}",owned,company,0,f,t,f,f,87f673f1-ace4-41b8-a712-3d3e226b43c2,bnxfz6,1,2026-01-13 09:21:04.975+00,2026-01-13 08:57:18.047+00,d17f4dfb-ddfc-4ffd-80de-945f9afdd036,2026-01-13 09:25:17.845+00,1,14800,14800,2026-01-13 09:25:17.827+00,FALSE,Old Date & Not Labeled
Tesla,Model Y,Basis RWD,49200,2023-02-20,220,rwd,Standard,1,1,0,2,t,t,,57,60,,,marginally_taxed,t,2,"Description not available; Summer tire 1 x curb, winter tire 2 x curb,; black Tesla logo at the front, black Tesla lettering at the back; high-quality carpet mats complete",2025-04-28 09:00:00+00,2026-01-14 10:00:00+00,active,27400.0,1,47568,acc,,,,,front_and_rear_seats,none,,,,rear,f,,,"{""specialEquipment"": [], ""standardEquipment"": [""14 speaker(s)"", ""Acoustic pedestrian protection (warning speaker)"", ""Airbag driver side/passenger side"", ""Antilock braking system (ABS)"", ""Body: 5-door"", ""Center armrest front with storage compartment"", ""Central locking system / starting system Keyless-Entry"", ""Colour touchscreen (15,0 inch)"", ""Cruise control"", ""Custom paintwork Pearl white"", ""Daytime running lights LED"", ""Driver assistance system: automatic distance control (ACC)"", ""Driver assistance system: autopilot Generation 1.0"", ""Electric motor 255 kW (cont. 100 kW)"", ""Electronic Stability Control (ESP)"", ""Exterior mirror electrically heated and folding"", ""Front fog lights LED"", ""Hands-free system Bluetooth"", ""Head airbag system (windowbag) front + rear"", ""Headlight LED"", ""Headlight leveling control electric"", ""Heating/air-conditioning: heat pump (Supermanifold)"", ""Interior equipment black"", ""Kneebag driver side/passenger side"", ""Light-alloy rims"", ""Multi-media interface 2 x USB (type C) front and 2 x USB charging port (type C) center console rear"", ""Navigation system with map display"", ""Panoramic glass roof (fully-glazed roof surface)"", ""Radio reception digital (DAB+)"", ""Rain sensor"", ""Rear seat backrest split/folding (60:40)"", ""Reversing camera HD"", ""Seat heating front"", ""Seat heating rear"", ""Seats front electrically adjustable"", ""Sensor Temperature/window fogging detection"", ""Sidebag front"", ""Sound system Premium"", ""Steering wheel with multiple function"", ""Subwoofer"", ""Tire pressure control system"", ""Transmission for electric vehicle"", ""Type of drive: rear-wheel drive"", ""Voice control system"", ""Wheelbase 2890 mm"", ""Wi-Fi on Board"", ""Windshield washer jets heated""]}","{type_2,schuko}",,"{registration_certificate_part_1,registration_certificate_part_2,coc_certificate}",financing,private,0,f,t,f,f,91f9b2cc-ff28-4f0d-b840-0a1673c29116,d4326e,1,2026-01-12 18:32:11.544+00,2026-01-12 16:49:00.877+00,8d523e89-db18-4709-bd46-e8946c8bf98c,2026-01-13 08:49:42.124+00,1,27400,27400,2026-01-13 08:49:42.113+00,FALSE,Old Date & Not Labeled
Tesla,Model 3,Basis RWD,34185,2022-12-20,208,rwd,Standard,1,0,0,1,t,t,,57,60,,,marginally_taxed,t,2,"Scratches on the front driver side fender; Scratches on all rims; MOT until 31.12.2025, will not be extended before sale",2025-04-28 09:00:00+00,2026-01-14 10:00:00+00,active,23300.0,1,45560,acc,,,,,front_seats,none,,,,rear,f,,,"{""specialEquipment"": [], ""standardEquipment"": [""15 speaker(s)"", ""Airbag driver side/passenger side"", ""Antilock braking system (ABS)"", ""Body: 4-door"", ""Center armrest front with storage compartment"", ""Central locking system / starting system Keyless-Entry"", ""Custom paintwork Pearl white"", ""Driver assistance system: automatic distance control (ACC) with forward-radar assistant"", ""Driver assistance system: autonomous emergency braking assistance (AEB)"", ""Driver assistance system: autopilot (Basic)"", ""Driver assistance system: collision warning system (Forward Collision Warning, FCW)"", ""Electric motor 239 kW"", ""Exterior mirror electrically heated and folding"", ""Exterior mirror fold-up"", ""Front fog lights LED"", ""Glass roof fixed"", ""Head airbag system (windowbag) front + rear"", ""Heating/air-conditioning: heat pump (Supermanifold)"", ""HV battery 60 kWh"", ""Inductive charging tray for Smartphone"", ""Interior equipment Premium black"", ""Kneebag driver side/passenger side"", ""Liftgate opening electr."", ""Light-alloy rims"", ""Model year 2021"", ""Multi-media interface 2 x USB (type C) front and 2 x USB charging port (type C) center console rear"", ""Parking brake electronic (EPB)"", ""Rear lights LED"", ""Rear seat backrest split/folding (60:40)"", ""Reversing camera HD"", ""Seat heating front"", ""Seats front electrically adjustable (12-way)"", ""Sound system Premium"", ""Steering wheel heated"", ""Subwoofer"", ""Transmission for electric vehicle"", ""Type of drive: rear-wheel drive"", ""Voice control system"", ""Wi-Fi on Board""]}","{type_2,schuko}",,{registration_certificate_part_1},financing,private,0,t,t,f,f,254af9ba-b7a9-4c8f-b359-ba52fdd41bae,j63t0l,1,2026-01-12 15:03:31.916+00,2026-01-12 11:57:20.934+00,8d523e89-db18-4709-bd46-e8946c8bf98c,2026-01-13 08:47:28.622+00,1,23300,23300,2026-01-13 08:47:28.612+00,FALSE,Old Date & Not Labeled
Tesla,Model 3,Basis RWD,21000,2022-08-01,208,rwd,Standard,1,1,0,2,t,t,,57,60,,,marginally_taxed,t,2,Scratches on driver's side sill at the bottom; Sticker on driver's side of the tailgate,2025-04-28 09:00:00+00,2026-01-14 10:00:00+00,active,23200.0,1,45560,acc,,,,,front_seats,none,,,,rear,f,,,"{""specialEquipment"": [], ""standardEquipment"": [""15 speaker(s)"", ""Airbag driver side/passenger side"", ""Antilock braking system (ABS)"", ""Body: 4-door"", ""Center armrest front with storage compartment"", ""Central locking system / starting system Keyless-Entry"", ""Custom paintwork Pearl white"", ""Driver assistance system: automatic distance control (ACC) with forward-radar assistant"", ""Driver assistance system: autonomous emergency braking assistance (AEB)"", ""Driver assistance system: autopilot (Basic)"", ""Driver assistance system: collision warning system (Forward Collision Warning, FCW)"", ""Electric motor 239 kW"", ""Exterior mirror electrically heated and folding"", ""Exterior mirror fold-up"", ""Front fog lights LED"", ""Glass roof fixed"", ""Head airbag system (windowbag) front + rear"", ""Heating/air-conditioning: heat pump (Supermanifold)"", ""HV battery 60 kWh"", ""Inductive charging tray for Smartphone"", ""Interior equipment Premium black"", ""Kneebag driver side/passenger side"", ""Liftgate opening electr."", ""Light-alloy rims"", ""Model year 2021"", ""Multi-media interface 2 x USB (type C) front and 2 x USB charging port (type C) center console rear"", ""Parking brake electronic (EPB)"", ""Rear lights LED"", ""Rear seat backrest split/folding (60:40)"", ""Reversing camera HD"", ""Seat heating front"", ""Seats front electrically adjustable (12-way)"", ""Sound system Premium"", ""Steering wheel heated"", ""Subwoofer"", ""Transmission for electric vehicle"", ""Type of drive: rear-wheel drive"", ""Voice control system"", ""Wi-Fi on Board""]}",{type_2},,"{coc_certificate,registration_certificate_part_1,registration_certificate_part_2}",owned,private,0,t,t,f,f,3d83b7a4-54ac-4dfb-a46d-3b18735889fe,14h47e,1,2026-01-12 15:04:42.207+00,2026-01-12 11:04:28.212+00,8d523e89-db18-4709-bd46-e8946c8bf98c,2026-01-13 08:47:13.762+00,1,23200,23200,2026-01-13 08:47:13.751+00,FALSE,Old Date & Not Labeled
Tesla,Model Y,Long Range Dual AWD,26500,2023-07-26,378,awd,Standard,1,1,0,2,t,t,,75,78.1,,,marginally_taxed,t,2,"Front right; 2-3 small stone chips on the front bumper; rubber tray trunk, 4 * rubber floor mats, jack rubber, phone holder, Carbon-Bundle dashboard + door trim",2025-04-28 09:00:00+00,2026-01-13 10:00:00+00,pending_seller,35300.0,7,54990,acc,,,,,front_and_rear_seats,none,,,,rear,t,,,"{""specialEquipment"": [], ""standardEquipment"": [""14 speaker(s)"", ""Acoustic pedestrian protection (warning speaker)"", ""Airbag driver side/passenger side"", ""Antilock braking system (ABS)"", ""Body: 5-door"", ""Center armrest front with storage compartment"", ""Central locking system / starting system Keyless-Entry"", ""Colour touchscreen (15,0 inch)"", ""Cruise control"", ""Custom paintwork Pearl white"", ""Daytime running lights LED"", ""Driver assistance system: automatic distance control (ACC)"", ""Driver assistance system: autopilot Generation 1.0"", ""Electric motor 378 kW (cont. 153 kW)"", ""Electronic Stability Control (ESP)"", ""Exterior mirror electrically heated and folding"", ""Front fog lights LED"", ""Hands-free system Bluetooth"", ""Head airbag system (windowbag) front + rear"", ""Headlight LED"", ""Headlight leveling control electric"", ""Heating/air-conditioning: heat pump (Supermanifold)"", ""HV battery 75 kWh"", ""Interior equipment black"", ""Kneebag driver side/passenger side"", ""Light-alloy rims"", ""Multi-media interface 2 x USB (type C) front and 2 x USB charging port (type C) center console rear"", ""Navigation system with map display"", ""Panoramic glass roof (fully-glazed roof surface)"", ""Radio reception digital (DAB+)"", ""Rain sensor"", ""Rear seat backrest split/folding (60:40)"", ""Reversing camera HD"", ""Seat heating front"", ""Seat heating rear"", ""Seats front electrically adjustable"", ""Sensor Temperature/window fogging detection"", ""Sidebag front"", ""Sound system Premium"", ""Steering wheel with multiple function"", ""Subwoofer"", ""Tire pressure control system"", ""Transmission for electric vehicle"", ""Type of drive: all-wheel drive"", ""Voice control system"", ""Wheelbase 2890 mm"", ""Wi-Fi on Board"", ""Windshield washer jets heated""]}",{schuko},,"{registration_certificate_part_1,registration_certificate_part_2,coc_certificate}",owned,private,0,f,t,f,f,b0bd5635-ea2f-4733-9173-7f0dff8069b3,todx1r,1,2026-01-12 09:55:22.335+00,2026-01-12 09:43:14.893+00,0a13efab-e0f3-420c-a516-38bb46085747,2026-01-13 07:55:11.802+00,7,35300,30600,2026-01-13 09:22:36.993+00,FALSE,Old Date & Not Labeled
Tesla,Model 3,Long Range Dual AWD,38838,2020-08-13,324,awd,Standard,1,1,0,2,f,t,,73.5,78.8,,,vat_deductible,t,2,"Scratch on a summer rim and scratch on driver's side front winter rim ; Scratch on the front bumper driver's side bottom ; Additional door seals for noise reduction, matte covers on center console (can be removed)",2025-04-28 09:00:00+00,2026-01-13 10:00:00+00,pending_seller,19200.0,6,55970,acc,,,,,front_seats,none,,,,rear,t,,,"{""specialEquipment"": [""Electric motor 258 kW (cont. 153 kW)""], ""standardEquipment"": [""15 speaker(s)"", ""Airbag driver side/passenger side"", ""Antilock braking system (ABS)"", ""Body: 4-door"", ""Center armrest front with storage compartment"", ""Central locking system / starting system Keyless-Entry"", ""Custom paintwork Pearl white"", ""Driver assistance system: automatic distance control (ACC) with forward-radar assistant"", ""Driver assistance system: autonomous emergency braking assistance (AEB)"", ""Driver assistance system: autopilot (Basic)"", ""Driver assistance system: collision warning system (Forward Collision Warning, FCW)"", ""Electronic Stability Control (ESP)"", ""Exterior mirror electrically heated and folding"", ""Exterior mirror fold-up"", ""Front fog lights LED"", ""Glass roof fixed"", ""Head airbag system (windowbag) front + rear"", ""Headlight LED - Up level (adaptive headlights)"", ""Heating/air-conditioning: heat pump (Supermanifold)"", ""Inductive charging tray for Smartphone"", ""Interior equipment Premium black"", ""Kneebag driver side/passenger side"", ""Liftgate opening electr."", ""Light alloy rims 8,5x18 (Photon)"", ""Multi-media interface 2 x USB (type C) front and 2 x USB charging port (type C) center console rear"", ""Parking brake electronic (EPB)"", ""Rear lights LED"", ""Rear seat backrest split/folding (60:40)"", ""Reversing camera HD"", ""Seat heating front"", ""Seats front electrically adjustable (12-way)"", ""Sidebag front"", ""Sound system Premium"", ""Steering wheel heated"", ""Subwoofer"", ""Tesla Collision Repair Time (CRT)"", ""Tire 235/45 R18 ..W"", ""Transmission for electric vehicle"", ""Type of drive: all-wheel drive"", ""Voice control system"", ""Wi-Fi on Board""]}",{type_2},,"{registration_certificate_part_1,registration_certificate_part_2,coc_certificate}",owned,company,0,t,t,f,f,ea162d1e-55f0-4eb6-9be3-1ab5b8aaebf7,6s3zs6,1,2026-01-12 09:57:57.882+00,2026-01-12 09:27:36.225+00,9c773ad3-45f8-4107-b4b9-591238593648,2026-01-13 08:40:41.582+00,6,19200,11600,2026-01-13 09:29:55.215+00,FALSE,Old Date & Not Labeled
Tesla,Model 3,Performance Dual AWD,52888,2021-09-23,377,awd,Enhanced,1,1,0,2,t,t,,76,82,,,marginally_taxed,t,2,small stone chips; Several rims of summer tires have light kerb damage; Emblems have black 'caps' on them,2025-04-28 09:00:00+00,2026-01-13 10:00:00+00,pending_seller,27100.0,5,63572,acc,,,,,front_seats,none,,,,rear,f,,,"{""specialEquipment"": [""Electric motor 258 kW (cont. 153 kW)""], ""standardEquipment"": [""15 speaker(s)"", ""Airbag driver side/passenger side"", ""Antilock braking system (ABS)"", ""Body: 4-door"", ""Center armrest front with storage compartment"", ""Central locking system / starting system Keyless-Entry"", ""Custom paintwork Pearl white"", ""Driver assistance system: automatic distance control (ACC) with forward-radar assistant"", ""Driver assistance system: autonomous emergency braking assistance (AEB)"", ""Driver assistance system: autopilot (Basic)"", ""Driver assistance system: collision warning system (Forward Collision Warning, FCW)"", ""Electronic Stability Control (ESP)"", ""Exterior mirror electrically heated and folding"", ""Exterior mirror fold-up"", ""Front fog lights LED"", ""Glass roof fixed"", ""Head airbag system (windowbag) front + rear"", ""Headlight LED - Up level (adaptive headlights)"", ""Heating/air-conditioning: heat pump (Supermanifold)"", ""Inductive charging tray for Smartphone"", ""Interior equipment Premium black"", ""Kneebag driver side/passenger side"", ""Liftgate opening electr."", ""Light alloy rims 8,5x18 (Photon)"", ""Multi-media interface 2 x USB (type C) front and 2 x USB charging port (type C) center console rear"", ""Parking brake electronic (EPB)"", ""Rear lights LED"", ""Rear seat backrest split/folding (60:40)"", ""Reversing camera HD"", ""Seat heating front"", ""Seats front electrically adjustable (12-way)"", ""Sidebag front"", ""Sound system Premium"", ""Steering wheel heated"", ""Subwoofer"", ""Tesla Collision Repair Time (CRT)"", ""Tire 235/45 R18 ..W"", ""Transmission for electric vehicle"", ""Type of drive: all-wheel drive"", ""Voice control system"", ""Wi-Fi on Board""]}","{schuko,type_2}",,"{registration_certificate_part_1,registration_certificate_part_2,coc_certificate}",owned,private,0,t,t,f,f,c76a12e5-5aa7-459a-9c59-7e2023274570,jajcir,1,2026-01-12 09:49:58.855+00,2026-01-12 09:24:23.97+00,96aba9bd-a105-4a42-9064-f2f121466895,2026-01-13 09:05:15.437+00,5,27100,23100,2026-01-13 09:33:22.582+00,FALSE,Old Date & Not Labeled
Tesla,Model Y,Long Range Dual AWD,45000,2023-11-23,378,awd,Standard,0,1,0,1,t,t,,75,78.1,,,marginally_taxed,f,2,"Rear left; Rear left; Rear left; Small scratch right door; Repaired rear damage (bumper and tailgate were replaced. Front bumper, right side repainted due to scratches",2025-04-28 09:00:00+00,2026-01-13 10:00:00+00,pending_seller,35200.0,2,54990,acc,,,,,front_and_rear_seats,none,,,,rear,t,,,"{""specialEquipment"": [], ""standardEquipment"": [""14 speaker(s)"", ""Acoustic pedestrian protection (warning speaker)"", ""Airbag driver side/passenger side"", ""Antilock braking system (ABS)"", ""Body: 5-door"", ""Center armrest front with storage compartment"", ""Central locking system / starting system Keyless-Entry"", ""Colour touchscreen (15,0 inch)"", ""Cruise control"", ""Custom paintwork Pearl white"", ""Daytime running lights LED"", ""Driver assistance system: automatic distance control (ACC)"", ""Driver assistance system: autopilot Generation 1.0"", ""Electric motor 378 kW (cont. 153 kW)"", ""Electronic Stability Control (ESP)"", ""Exterior mirror electrically heated and folding"", ""Front fog lights LED"", ""Hands-free system Bluetooth"", ""Head airbag system (windowbag) front + rear"", ""Headlight LED"", ""Headlight leveling control electric"", ""Heating/air-conditioning: heat pump (Supermanifold)"", ""HV battery 75 kWh"", ""Interior equipment black"", ""Kneebag driver side/passenger side"", ""Light-alloy rims"", ""Multi-media interface 2 x USB (type C) front and 2 x USB charging port (type C) center console rear"", ""Navigation system with map display"", ""Panoramic glass roof (fully-glazed roof surface)"", ""Radio reception digital (DAB+)"", ""Rain sensor"", ""Rear seat backrest split/folding (60:40)"", ""Reversing camera HD"", ""Seat heating front"", ""Seat heating rear"", ""Seats front electrically adjustable"", ""Sensor Temperature/window fogging detection"", ""Sidebag front"", ""Sound system Premium"", ""Steering wheel with multiple function"", ""Subwoofer"", ""Tire pressure control system"", ""Transmission for electric vehicle"", ""Type of drive: all-wheel drive"", ""Voice control system"", ""Wheelbase 2890 mm"", ""Wi-Fi on Board"", ""Windshield washer jets heated""]}",{type_2},,"{registration_certificate_part_1,registration_certificate_part_2,coc_certificate}",owned,private,0,f,t,f,f,5f91a952-3ef4-4594-8e2a-6cccf02e2c01,y3pnna,1,2026-01-12 09:05:20.831+00,2026-01-09 17:00:03.297+00,8d523e89-db18-4709-bd46-e8946c8bf98c,2026-01-13 08:51:50.966+00,2,35200,29500,2026-01-13 08:51:50.354+00,FALSE,Old Date & Not Labeled
Tesla,Model Y,Long Range Dual AWD,89500,2022-12-06,378,awd,Enhanced,1,1,0,2,t,t,,75,78.1,,,marginally_taxed,t,2,partial scratches,2025-04-28 09:00:00+00,2026-01-13 10:00:00+00,pending_seller,30100.0,4,54990,acc,,,,,front_and_rear_seats,none,,,,rear,t,,,"{""specialEquipment"": [], ""standardEquipment"": [""14 speaker(s)"", ""Acoustic pedestrian protection (warning speaker)"", ""Airbag driver side/passenger side"", ""Antilock braking system (ABS)"", ""Body: 5-door"", ""Center armrest front with storage compartment"", ""Central locking system / starting system Keyless-Entry"", ""Colour touchscreen (15,0 inch)"", ""Cruise control"", ""Custom paintwork Pearl white"", ""Daytime running lights LED"", ""Driver assistance system: automatic distance control (ACC)"", ""Driver assistance system: autopilot Generation 1.0"", ""Electric motor 378 kW (cont. 153 kW)"", ""Electronic Stability Control (ESP)"", ""Exterior mirror electrically heated and folding"", ""Front fog lights LED"", ""Hands-free system Bluetooth"", ""Head airbag system (windowbag) front + rear"", ""Headlight LED"", ""Headlight leveling control electric"", ""Heating/air-conditioning: heat pump (Supermanifold)"", ""HV battery 75 kWh"", ""Interior equipment black"", ""Kneebag driver side/passenger side"", ""Light-alloy rims"", ""Multi-media interface 2 x USB (type C) front and 2 x USB charging port (type C) center console rear"", ""Navigation system with map display"", ""Panoramic glass roof (fully-glazed roof surface)"", ""Radio reception digital (DAB+)"", ""Rain sensor"", ""Rear seat backrest split/folding (60:40)"", ""Reversing camera HD"", ""Seat heating front"", ""Seat heating rear"", ""Seats front electrically adjustable"", ""Sensor Temperature/window fogging detection"", ""Sidebag front"", ""Sound system Premium"", ""Steering wheel with multiple function"", ""Subwoofer"", ""Tire pressure control system"", ""Transmission for electric vehicle"", ""Type of drive: all-wheel drive"", ""Voice control system"", ""Wheelbase 2890 mm"", ""Wi-Fi on Board"", ""Windshield washer jets heated""]}","{type_2,schuko}",,"{registration_certificate_part_1,registration_certificate_part_2,coc_certificate}",owned,private,0,t,t,f,f,5c243e71-62d6-4a27-ad73-8aabb30c237c,9f43sm,1,2026-01-12 09:32:43.331+00,2026-01-09 15:41:22.281+00,9c773ad3-45f8-4107-b4b9-591238593648,2026-01-13 08:50:25.606+00,4,30100,27900,2026-01-13 09:36:47.864+00,FALSE,Old Date & Not Labeled
Tesla,Model 3,"Performance Dual AWD (82 kWh, 377 kW)",37000,2022-02-03,377,awd,Standard,1,0,1,2,t,t,,76,82,,,marginally_taxed,f,2,"Front right; Spoiler scratched 
; Winter tires partially scratched; Parking bump on rear bumper, slight scratches",2025-04-28 09:00:00+00,2026-01-13 10:00:00+00,pending_seller,31600.0,5,58490,acc,,,,,front_seats,none,,,,rear,f,,,"{""specialEquipment"": [], ""standardEquipment"": [""15 speaker(s)"", ""Airbag driver side/passenger side"", ""Antilock braking system (ABS)"", ""Body: 4-door"", ""Center armrest front with storage compartment"", ""Central locking system / starting system Keyless-Entry"", ""Custom paintwork Pearl white"", ""Driver assistance system: automatic distance control (ACC) with forward-radar assistant"", ""Driver assistance system: autonomous emergency braking assistance (AEB)"", ""Driver assistance system: autopilot (Basic)"", ""Driver assistance system: collision warning system (Forward Collision Warning, FCW)"", ""Electric motor 239 kW"", ""Exterior mirror electrically heated and folding"", ""Exterior mirror fold-up"", ""Front fog lights LED"", ""Glass roof fixed"", ""Head airbag system (windowbag) front + rear"", ""Heating/air-conditioning: heat pump (Supermanifold)"", ""HV battery 60 kWh"", ""Inductive charging tray for Smartphone"", ""Interior equipment Premium black"", ""Kneebag driver side/passenger side"", ""Liftgate opening electr."", ""Light-alloy rims"", ""Model year 2021"", ""Multi-media interface 2 x USB (type C) front and 2 x USB charging port (type C) center console rear"", ""Parking brake electronic (EPB)"", ""Rear lights LED"", ""Rear seat backrest split/folding (60:40)"", ""Reversing camera HD"", ""Seat heating front"", ""Seats front electrically adjustable (12-way)"", ""Sound system Premium"", ""Steering wheel heated"", ""Subwoofer"", ""Transmission for electric vehicle"", ""Type of drive: rear-wheel drive"", ""Voice control system"", ""Wi-Fi on Board""]}",{type_2},,{registration_certificate_part_1},financing,private,0,f,t,f,f,3a79a7ff-e119-4869-ae55-ba8f9ed96dbd,zxzgyf,1,2026-01-12 09:39:40.228+00,2026-01-08 17:59:05.558+00,8d523e89-db18-4709-bd46-e8946c8bf98c,2026-01-13 08:56:59.037+00,5,31600,28100,2026-01-13 09:47:51.927+00,FALSE,Old Date & Not Labeled
